k,h,offset,Combo,Plastic,Reagent,Channel
5.033719094890584,1.0,49.44690611117727,PBCM.GH,BCM,GH,15
4.977980414915155,1.0,50.59522968412758,PBCM.GL,BCM,GL,0
5.5722838952460885,1.0,51.37146729895144,PBCM.GL,BCM,GL,1
5.610671537120009,1.0,50.22793853565894,PBCM.GL,BCM,GL,2
5.492986506789111,0.9802766543593694,44.825034350359054,PBCM.GL,BCM,GL,3
5.514965896342833,0.9845392738116854,45.20813641819842,PBCM.GL,BCM,GL,4
5.256954931922808,0.9888853444370482,47.83666231672604,PBCM.GL,BCM,GL,5
5.45230261107317,1.0,50.164755937545216,PBCM.GL,BCM,GL,6
5.445534030836186,0.9882037230253072,46.75817276930488,PBCM.GL,BCM,GL,7
4.926836257644407,1.0,52.22219393249914,PBCM.GL,BCM,GL,8
4.772698305353697,1.0,59.98928612585871,PBCM.GL,BCM,GL,9
4.970222522848579,1.0,58.293378987474114,PBCM.GL,BCM,GL,10
5.356795268511518,1.0,58.88998870696321,PBCM.GL,BCM,GL,11
5.290738015134034,1.0,51.2597333780655,PBCM.GL,BCM,GL,12
5.53142303448164,1.0,50.73535894433415,PBCM.GL,BCM,GL,13
5.78530532115315,0.999951287721134,45.57699057993513,PBCM.GL,BCM,GL,14
5.741129456362856,0.9992344914499838,47.56121702819249,PBCM.GL,BCM,GL,15
4.967947577717824,1.0,54.010053805754325,PBC0.C0,BC0,C0,0
4.838195356744752,0.9485711987020712,45.19039947217139,PBC0.C0,BC0,C0,1
4.43431301592952,1.0,57.78993998801933,PBC0.C0,BC0,C0,2
4.943757636949137,0.9963969701684884,48.23336346057941,PBC0.C0,BC0,C0,3
4.727897541534993,0.9752490719890028,44.77272026692787,PBC0.C0,BC0,C0,4
5.551831425988914,0.3614372231959941,41.51959069167313,PBC0.C0,BC0,C0,5
5.049249313636537,0.8990462146499488,46.08053143510346,PBC0.C0,BC0,C0,6
5.130626097551922,0.9994203579709456,49.110699540874414,PBC0.C0,BC0,C0,7
5.0726128556567645,0.7448528787641311,42.7546725748354,PBC0.C0,BC0,C0,8
5.044683785363145,0.9864494921303176,46.11672745627807,PBC0.C0,BC0,C0,9
4.566645492943276,0.9973551268887936,49.03157001502107,PBC0.C0,BC0,C0,10
5.069613756551777,0.9985681337285098,48.786446436971005,PBC0.C0,BC0,C0,11
4.823295530642795,0.8966463919427617,43.73904517810699,PBC0.C0,BC0,C0,12
5.21222962636458,0.9994694945360908,46.51082812661388,PBC0.C0,BC0,C0,13
4.907279130520365,0.9970726345247918,48.96846412253033,PBC0.C0,BC0,C0,14
4.730389823589562,0.9913978253558094,47.37812393366051,PBC0.C0,BC0,C0,15
5.130829917122843,1.1461505557402132e-17,45.2337751582219,PBCH.CH,BCH,CH,0
5.011893923127654,1.6315723992302194e-20,42.72341759692809,PBCH.CH,BCH,CH,1
